date,loc,used
2025-08-13,1433,5842
2025-08-14,1461,6075
2025-08-15,1576,6515
2025-08-16,1836,7440
2025-08-17,1995,8078
2025-08-18,2025,8138
2025-08-19,2145,8263
2025-08-20,2266,8842
2025-08-21,2763,9389
2025-08-22,2793,9728
2025-08-23,2764,9833
2025-08-24,2633,10101
2025-08-25,2464,10118
2025-08-26,2512,10325
2025-08-27,2602,10677
2025-08-28,2646,10780
2025-08-29,2705,10993
2025-08-30,2847,11589
2025-08-31,2895,11813
2025-09-01,3064,12233
2025-09-02,3157,12485
2025-09-03,3150,12434
2025-09-04,3203,12599
2025-09-05,3243,12610
